Stim,Stim_Deriv,Cont,Cont_Deriv
4.915000e-02,1.669723e-03,6.452458e-01,-1.297030e-02
5.093217e-02,1.882114e-03,6.355659e-01,-1.193972e-02
5.291621e-02,2.083922e-03,6.269251e-01,-1.088343e-02
5.510198e-02,2.290754e-03,6.193577e-01,-9.789482e-03
5.749966e-02,2.507856e-03,6.129047e-01,-8.656498e-03
6.011962e-02,2.735423e-03,6.076031e-01,-7.488237e-03
6.297242e-02,2.973651e-03,6.034865e-01,-6.288633e-03
6.606881e-02,3.222664e-03,6.005842e-01,-5.061709e-03
6.941962e-02,3.475798e-03,5.989214e-01,-3.804724e-03
7.302225e-02,3.717426e-03,5.985329e-01,-2.505965e-03
7.685629e-02,3.964281e-03,5.994676e-01,-1.173212e-03
8.095261e-02,4.261660e-03,6.017447e-01,1.743420e-04
8.538137e-02,4.606936e-03,6.053746e-01,1.515300e-03
9.016821e-02,4.961831e-03,6.103336e-01,2.825760e-03
9.530672e-02,5.310634e-03,6.165845e-01,4.104024e-03
1.007911e-01,5.657452e-03,6.241002e-01,5.360522e-03
1.066232e-01,6.008835e-03,6.328641e-01,6.602408e-03
1.128104e-01,6.369305e-03,6.428637e-01,7.831261e-03
1.193634e-01,6.741649e-03,6.540855e-01,9.045085e-03
1.262952e-01,7.127249e-03,6.665129e-01,1.023968e-02
1.336193e-01,7.526466e-03,6.801241e-01,1.140997e-02
1.413495e-01,7.939144e-03,6.948923e-01,1.255105e-02
1.494989e-01,8.365011e-03,7.107859e-01,1.365812e-02
1.580808e-01,8.803851e-03,7.277684e-01,1.472682e-02
1.671079e-01,9.255493e-03,7.457997e-01,1.575322e-02
1.765929e-01,9.717225e-03,7.648353e-01,1.673089e-02
1.865434e-01,1.018515e-02,7.848222e-01,1.765250e-02
1.969642e-01,1.026646e-02,8.057013e-01,1.811848e-02
2.070772e-01,-4.065594e-02,8.266205e-01,-3.249371e-02
1.156532e-01,-2.204961e-01,7.462755e-01,-2.128895e-01
-2.339135e-01,-3.053093e-01,4.064019e-01,-4.003697e-01
-4.949614e-01,-5.082580e-02,-4.890863e-02,-5.072905e-01
-3.355592e-01,2.355525e-01,-6.026308e-01,-4.944102e-01
-2.385160e-02,2.695932e-01,-1.032189e+00,-3.140461e-01
2.036297e-01,1.752058e-01,-1.225189e+00,-1.104477e-01
3.265610e-01,8.889935e-02,-1.247554e+00,1.634880e-02
3.814284e-01,3.581223e-02,-1.186962e+00,7.114510e-02
3.981850e-01,8.523080e-03,-1.099732e+00,8.299372e-02
3.984741e-01,-6.963122e-04,-1.015442e+00,7.410675e-02
3.967919e-01,7.911455e-04,-9.459850e-01,5.875207e-02
4.000559e-01,6.373117e-03,-8.924025e-01,4.480158e-02
4.095376e-01,1.194061e-02,-8.508461e-01,3.505174e-02
4.239365e-01,1.600727e-02,-8.167627e-01,2.927660e-02
4.415514e-01,1.860354e-02,-7.867561e-01,2.619484e-02
4.611427e-01,1.982722e-02,-7.588358e-01,2.499866e-02
4.812049e-01,-3.050168e-02,-7.312211e-01,7.551896e-02
4.001383e-01,-2.104054e-01,-6.022598e-01,2.556376e-01
6.039361e-02,-3.464040e-01,-2.144059e-01,3.918245e-01
-2.926678e-01,-2.724794e-01,1.869352e-01,3.180345e-01
-4.845607e-01,-1.226890e-01,4.272151e-01,1.683180e-01
-5.380400e-01,-1.529002e-02,5.291267e-01,6.093293e-02
-5.151346e-01,3.955347e-02,5.546381e-01,6.044325e-03
-4.589271e-01,6.007746e-02,5.467729e-01,-1.458273e-02
-3.949740e-01,6.125159e-02,5.310301e-01,-1.591656e-02
-3.364187e-01,5.389106e-02,5.204970e-01,-8.770599e-03
-2.871872e-01,4.523794e-02,5.190459e-01,-3.848996e-04
-2.459384e-01,3.874524e-02,5.252842e-01,5.789737e-03
-2.096926e-01,3.510061e-02,5.361825e-01,9.067910e-03
-1.757334e-01,3.381816e-02,5.489773e-01,9.937058e-03
-1.420527e-01,3.367903e-02,5.616140e-01,9.857956e-03
